yr,ret
1951,0.032
1952,2.591387
1953,5.033482
1954,11.534857
1955,2.479452
1956,2.638416
1957,4.652056
1958,18.186118
1959,4.315601
1960,3.268395
1961,4.371769
1962,3.348642
1963,3.653308
1964,1.584243
1965,2.837442
1966,5.229711
1967,6.091377
1968,2.668492
1969,4.341858
1970,5.937553
1971,7.222499
1972,3.52851
1973,6.644763
1974,8.426066
1975,3.455319
1976,4.212719
1977,5.715098
1978,9.342547
1979,6.213013
1980,3.012786
1981,7.606498
1982,13.836317
1983,5.098763
1984,5.823028
1985,13.809842
1986,15.757333
1987,7.429601
1988,3.324219
1989,18.364382
1990,21.760918
1991,12.202381
1992,6.258693
1993,23.390581
1994,16.899254
1995,3.871627
1996,4.301319
1997,16.337815
1998,10.643387
1999,3.577474
2000,4.933005
2001,7.063275
2002,14.949781
2003,4.712729
2004,3.719586
2005,6.711325
2006,12.453303
2007,1.426428
2008,1.582188
2009,1.6
2010,28.3
